"IDADE","TP_SEXO","TP_ESTADO_CIVIL","TP_COR_RACA","Q001","Q002","Q003","Q004","Q005","Q006","Q007","Q008","Q009","Q010","Q011","Q012","Q013","Q014","Q015","Q016","Q017","Q018","Q019","Q020","Q021","Q022","Q023","Q024","Q025","Q026","Q027","Q028","Q029","Q030","Q031","Q032","Q033","Q034","Q035","Q036","Q037","Q038","Q039","Q040","Q041","Q042","Q043","Q044","Q045","Q046","Q047","Q048","Q049","Q050","Q051","Q052","Q053","Q054","Q055","Q056","Q057","Q058","Q059","Q060","Q061","Q062","Q063","Q064","Q065","Q066","Q067","Q068","Q069","Q070","Q071","Q072","Q073","Q074","Q075","Q076","media"
">=20.00","F","0","1","B","B","<=724","[1;5]","A","B","A","A","A","D","D","A","A","D","D","A","D","D","D","D","A","C","3","5","","4","4","5","5","C","","","F","","","A","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","M","0","1","I","B","(724; 2893]","[6;10]","A","B","C","A","A","D","D","D","A","D","A","A","A","A","D","D","B","C","2","4","","5","0","5","4","B","","","F","","","A","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","p"
">=20.00","F","0","3","C","F","<=724","[1;5]","C","B","A","A","A","A","D","A","A","D","D","B","A","D","D","D","A","A","5","5","","5","5","3","3","B","A","A","B","A","A","A","B","B","B","<=17","B","5","0","5","5","5","A","B","A","B","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","F","0","3","I","I","<=724","[1;5]","D","B","A","A","A","A","D","A","A","D","A","A","A","D","A","D","A","C","5","5","","5","1","5","0","C","","","B","","","A","A","B","B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","M","0","1","G","G","(724; 2893]","[1;5]","A","B","B","A","D","A","D","A","A","A","D","C","A","B","D","D","B","A","2","5","","5","5","5","5","C","A","C","B","A","C","A","A","B","A",">17","B","3","0","2","5","5","B","B","B","A","B","B","B","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","F","3","3","B","B","<=724","[1;5]","D","B","A","D","A","A","D","A","A","D","D","B","D","D","D","A","A","A","5","5","","5","5","5","5","A","E","A","B","E","A","A","A","B","A",">17","E","0","5","5","5","5","B","B","B","B","B","B","A","B","","","","","","","","","","A","B","B","B","A","B","A","A","B","B","B","B","C","n"
">=20.00","M","0","3","H","G","(724; 2893]","[1;5]","A","B","B","A","A","B","B","A","A","D","A","B","A","A","A","D","B","C","5","2","","4","1","3","2","D","","","C","","","A","A","A","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","M","0","3","I","C","<=724","[6;10]","A","B","A","A","A","D","D","A","A","D","D","A","D","D","D","D","A","C","5","5","","5","5","5","5","C","","","F","","","A","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","3","E","E","(724; 2893]","[1;5]","A","B","B","A","A","A","A","A","A","D","A","C","A","D","A","D","A","B","4","4","","5","0","5","0","B","A","A","C","A","A","A","A","B","B","<=17","B","0","0","4","4","0","A","B","B","B","B","B","B","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","M","0","1","E","E","<=724","[1;5]","A","B","A","D","A","D","D","A","A","D","A","A","D","D","D","A","A","C","5","5","","5","0","5","5","B","","","F","","","A","A","A","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","M","0","3","C","G","(724; 2893]","[6;10]","A","B","A","A","A","A","A","A","A","D","A","B","A","D","D","D","B","C","4","5","","5","4","5","2","B","","","B","","","A","A","B","B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","p"
">=20.00","F","0","1","G","G",">5792","[1;5]","B","B","A","A","B","C","B","A","A","A","B","C","B","A","D","A","C","C","4","5","","5","0","0","0","B","","","B","","","B","B","B","B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","M","1","3","B","B","(724; 2893]","[1;5]","C","A","A","A","A","D","D","D","D","D","D","B","D","D","D","D","A","A","4","4","","5","5","5","5","C","A","A","B","A","A","A","A","A","A",">17","E","5","5","4","4","5","B","B","B","B","B","B","B","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","M","0","3","B","B","(724; 2893]","[6;10]","A","B","A","A","A","D","D","D","D","D","D","A","D","D","D","D","A","B","5","0","","0","5","5","0","B","A","A","B","A","A","B","A","B","A",">17","B","5","0","5","0","0","B","B","B","B","A","B","B","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","3","B","B","<=724","[1;5]","C","A","A","D","A","D","D","D","A","D","D","D","D","D","D","D","A","C","5","5","","5","4","4","4","C","","","F","","","A","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","M","0","3","C","C","(724; 2893]","[1;5]","C","A","A","A","D","D","D","D","A","D","A","A","A","D","D","D","A","A","5","5","","5","5","5","0","B","B","A","F","D","A","A","A","A","B","<=17","E","5","0","5","5","5","A","B","B","B","B","B","A","B","","","","","","","","","","B","","","","","","","","","","","","","n"
"<20.00","M","1","3","D","D","(724; 2893]","[1;5]","A","B","B","A","D","A","B","A","A","D","A","C","D","D","D","D","B","A","5","5","","5","5","5","5","B","A","B","B","A","A","A","A","B","A","<=17","E","5","5","5","5","5","A","B","A","B","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","3","B","C","<=724","[1;5]","C","B","A","A","A","D","A","A","A","D","D","B","D","D","D","D","A","C","4","5","","3","3","5","3","B","","","F","","","A","B","B","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","F","0","1","A","A","<=724","[1;5]","A","B","A","D","D","D","D","A","A","D","D","B","D","D","D","D","A","C","5","5","","5","5","5","5","F","","","E","","","A","A","A","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","3","H","H","(2893; 5792]","[1;5]","A","B","A","A","D","D","D","A","A","D","A","B","A","D","D","D","A","C","5","5","","5","4","5","5","A","","","B","","","A","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","3","B","B","(724; 2893]","[1;5]","D","B","A","A","A","A","A","D","A","D","D","C","D","D","D","D","A","C","3","2","","5","5","5","0","B","","","B","","","A","A","B","B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","M","0","3","B","B","<=724","[1;5]","A","B","B","B","A","A","D","A","A","A","A","B","A","D","A","D","A","A","5","5","","5","5","5","1","C","A","A","C","A","A","A","A","A","B","<=17","A","5","5","5","5","5","A","B","B","B","A","A","A","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","F","0","2","E","E","(724; 2893]","[1;5]","A","B","B","A","A","A","D","A","A","D","A","A","A","D","D","D","B","A","4","4","","5","5","5","5","A","A","A","C","A","A","A","A","A","A",">17","D","5","3","5","5","5","B","A","B","B","A","B","B","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","2","E","C","(2893; 5792]","[1;5]","A","B","B","A","A","A","A","A","A","A","A","A","A","A","A","D","B","B","3","3","","2","3","2","2","B","A","C","F","A","C","B","A","B","A","<=17","B","3","0","4","5","2","A","B","B","A","B","B","B","","","","","","","","","","","","","","","","","","","","","","","","p"
">=20.00","F","0","2","E","F","<=724","[1;5]","A","B","A","D","A","A","D","D","D","D","A","A","A","D","D","D","A","C","3","2","","4","3","4","4","B","","","F","","","A","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","1","B","E","(724; 2893]","[1;5]","A","B","C","B","B","A","A","A","A","B","A","C","A","D","D","D","A","A","5","5","","5","5","5","0","B","A","A","B","A","A","A","A","A","B","<=17","C","0","0","5","5","5","A","B","B","A","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","F","0","1","E","E","(2893; 5792]","[1;5]","C","B","A","A","A","D","A","A","A","A","A","A","A","A","A","D","A","A","0","5","","5","0","3","2","B","A","B","B","A","C","A","A","A","A",">17","E","5","0","2","0","0","A","A","B","A","B","B","B","","","","","","","","","","","","","","","","","","","","","","","","p"
">=20.00","F","0","3","E","B","(724; 2893]","[1;5]","A","B","A","A","D","D","D","D","A","D","D","C","D","D","D","D","A","B","5","0","","5","0","5","0","B","A","A","B","A","A","A","A","B","B","<=17","B","5","0","0","5","0","A","B","A","B","A","B","B","","","","","","","","","","","","","","","","","","","","","","","","p"
">=20.00","F","0","1","D","D","(724; 2893]","[6;10]","A","B","A","A","A","D","A","A","A","D","D","B","D","D","D","D","B","A","5","5","","5","5","5","5","B","A","D","F","A","A","A","A","A","A","<=17","C","5","0","5","5","5","A","B","B","B","B","B","B","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","F","2","1","E","E","(724; 2893]","[1;5]","C","B","A","A","D","A","D","D","A","A","D","A","A","D","D","D","B","A","3","5","","5","2","5","2","C","B","B","B","A","A","A","A","A","A","<=17","A","1","3","5","5","5","B","B","B","B","B","B","B","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","M","0","1","G","G","(724; 2893]","[1;5]","A","B","C","B","B","C","B","A","B","A","C","C","A","A","A","B","C","C","5","5","","5","0","2","2","B","","","B","","","B","B","B","B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","p"
"<20.00","F","2","3","E","E","(724; 2893]","[6;10]","A","B","B","A","A","A","A","A","A","D","A","A","D","D","D","D","B","B","5","1","","1","1","1","1","C","A","A","D","D","A","A","A","B","A",">17","D","3","5","5","5","5","B","A","A","B","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","3","E","E","(2893; 5792]","[1;5]","A","B","B","A","D","A","C","A","A","A","A","C","A","D","D","D","A","C","5","5","","5","5","5","5","G","","","G","","","A","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","M","1","1","E","D","<=724","[1;5]","B","B","B","D","D","A","A","A","A","D","D","C","D","D","D","D","A","A","2","5","","5","5","5","5","D","A","B","F","E","A","B","B","B","B",">17","E","3","3","5","5","5","A","B","B","B","B","B","B","A","E","A","B","B","B","B","A","B","B","A","B","B","A","A","B","A","B","B","B","B","B","C","n"
">=20.00","M","0","2","E","E",">5792","[1;5]","A","B","B","A","D","A","A","A","A","A","A","C","A","A","A","D","C","C","0","5","","5","2","3","4","C","","","B","","","A","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","0","E","B","(724; 2893]","[6;10]","A","B","A","A","D","A","D","D","A","D","D","C","A","D","D","D","A","C","2","0","","5","2","2","2","B","","","F","","","A","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","1","E","G","(2893; 5792]","[1;5]","A","B","C","A","B","B","B","A","A","A","B","C","A","A","A","D","C","C","5","5","","4","4","5","3","B","","","B","","","A","A","A","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","p"
">=20.00","F","0","1","C","B","(724; 2893]","[1;5]","A","B","B","A","A","A","A","D","A","D","D","C","D","D","D","D","A","C","2","0","","0","0","1","0","B","","","F","","","A","A","B","B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","M","0","1","C","D","(724; 2893]","[1;5]","A","A","A","D","A","A","D","D","B","D","A","A","D","D","D","D","B","B","0","5","","5","5","5","2","C","A","A","B","A","A","A","A","B","A","<=17","B","4","3","5","5","5","B","A","B","B","A","B","B","","","","","","","","","","","","","","","","","","","","","","","","p"
">=20.00","M","0","1","C","B","(724; 2893]","[1;5]","A","B","A","A","A","B","A","A","A","D","A","B","A","A","A","D","B","A","5","5","","5","2","5","3","A","A","A","F","A","A","A","A","A","B","<=17","E","5","0","5","4","3","A","B","B","B","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","2","G","E","(724; 2893]","[1;5]","A","B","C","A","A","A","A","A","A","A","A","A","D","D","A","D","A","B","4","4","","4","2","2","2","B","A","C","B","A","C","A","A","A","A",">17","B","3","2","4","3","2","A","A","B","B","B","B","A","","","","","","","","","","","","","","","","","","","","","","","","p"
">=20.00","F","0","1","C","C","<=724","[1;5]","A","B","B","A","A","A","D","D","A","A","D","C","C","D","D","D","A","C","3","4","","5","5","5","5","A","","","B","","","B","A","A","B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","F","1","3","B","C","(724; 2893]","[1;5]","B","B","A","A","A","A","D","A","A","D","D","A","A","D","D","D","A","A","5","5","","5","5","5","5","F","A","B","A","A","B","A","B","B","A",">17","E","5","5","5","5","5","A","A","B","B","A","A","A","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","F","0","2","A","B","(724; 2893]","[6;10]","A","B","A","A","A","A","A","A","A","D","D","A","A","A","A","D","A","A","2","5","","5","5","5","5","B","A","A","C","A","A","A","A","A","A",">17","E","0","5","5","5","4","B","B","B","B","B","B","A","","","","","","","","","","","","","","","","","","","","","","","","p"
"<20.00","F","0","1","E","B","(724; 2893]","[1;5]","C","B","A","D","D","A","D","D","A","D","D","B","A","D","D","D","A","A","4","4","","5","3","4","4","B","A","A","B","A","B","A","A","A","A",">17","E","4","0","5","5","5","B","A","A","B","B","B","B","","","","","","","","","","","","","","","","","","","","","","","","p"
">=20.00","F","0","1","B","B","(724; 2893]","[1;5]","D","A","A","A","D","A","A","A","A","D","D","A","D","D","D","D","A","C","5","5","","5","5","5","5","B","","","B","","","A","A","A","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","F","0","3","B","B","<=724","[6;10]","A","B","A","D","D","D","D","A","A","D","D","B","D","D","D","D","A","B","0","5","","5","4","4","4","A","A","A","B","A","A","A","A","B","B",">17","E","5","0","5","5","5","B","B","B","B","A","B","B","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","2","C","C","(724; 2893]","[1;5]","A","B","A","A","D","A","D","A","A","D","D","B","A","D","D","D","A","C","5","5","","5","3","5","4","B","A","A","D","A","A","A","B","B","A","","","","","","","","","","","","","","","A","A","B","B","B","B","B","B","B","B","A","B","B","B","B","B","B","B","B","B","B","B","C","n"
"<20.00","M","0","3","C","B","(724; 2893]","[1;5]","A","B","B","A","A","A","D","A","A","D","D","B","A","A","D","D","A","A","3","4","","4","3","3","3","B","A","A","B","A","A","A","A","A","A","<=17","D","4","1","1","3","1","B","A","A","A","A","A","A","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","3","D","G","(724; 2893]","[6;10]","A","B","C","A","D","A","B","B","A","A","D","C","D","D","A","D","C","C","5","5","","5","3","5","5","C","","","F","","","B","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","M","0","3","B","G","(724; 2893]","[1;5]","A","B","A","D","D","A","A","A","A","D","D","A","A","D","D","D","B","C","5","5","","5","5","5","5","B","","","B","","","A","A","A","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","M","0","3","B","B","(724; 2893]","[6;10]","A","A","A","A","A","A","D","A","A","D","D","C","D","D","D","D","A","A","5","5","","5","5","5","4","A","A","A","F","B","A","A","A","A","A","<=17","B","3","0","5","5","5","B","B","B","B","B","B","B","B","","","","","","","","","","A","B","B","B","B","B","A","B","B","B","B","B","D","n"
"<20.00","F","1","3","B","C","<=724","[6;10]","D","B","A","D","D","D","D","D","A","D","D","A","D","D","D","D","A","C","5","5","","4","1","5","5","B","","","B","","","B","B","B","B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","F","0","3","C","E","(724; 2893]","[1;5]","B","B","A","D","D","A","D","A","A","D","D","B","D","D","D","D","A","B","5","5","","5","5","5","5","B","A","C","B","A","D","A","A","B","A","<=17","E","5","5","5","5","5","A","A","A","A","B","B","A","","","","","","","","","","","","","","","","","","","","","","","","p"
">=20.00","M","0","1","I","B","<=724","[1;5]","A","B","A","A","A","A","D","A","A","D","A","A","A","D","D","D","A","C","5","3","","5","5","5","5","B","","","F","","","A","A","A","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","M","0","1","E","G","(724; 2893]","[1;5]","C","B","B","B","B","B","A","A","A","D","A","C","B","D","D","D","A","A","3","5","","0","3","0","0","A","A","B","F","B","B","B","B","B","B",">17","D","3","0","5","5","2","B","B","B","B","A","B","A","B","","","","","","","","","","A","B","B","B","B","A","A","B","B","B","B","B","D","n"
">=20.00","M","0","1","B","C","(724; 2893]","[1;5]","B","B","C","A","A","B","A","A","B","A","A","C","B","B","D","D","C","C","0","1","","5","2","4","3","B","","","B","","","A","B","B","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","F","0","1","C","E","(724; 2893]","[1;5]","C","B","A","A","A","D","D","D","A","D","D","C","D","D","D","D","A","C","5","5","","5","5","5","5","C","","","B","","","A","A","A","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","F","1","3","B","C","(724; 2893]","[1;5]","B","B","B","A","A","A","A","A","A","D","D","B","A","A","A","D","A","C","4","5","","5","3","5","2","F","","","B","","","A","A","B","B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","M","0","1","B","D","(724; 2893]","[6;10]","A","A","B","D","D","A","D","D","A","D","D","C","D","D","D","D","A","C","5","5","","5","5","5","5","D","","","B","","","A","A","A","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","F","1","1","C","A","(2893; 5792]","[1;5]","B","B","B","A","A","A","A","A","A","A","D","A","A","A","D","D","A","A","5","5","","5","4","5","5","B","D","A","B","A","A","A","A","A","A",">17","D","3","5","5","5","5","A","B","A","B","A","A","B","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","1","3","B","E","(724; 2893]","[1;5]","C","B","D","D","D","D","D","A","A","D","D","B","D","D","D","D","A","C","5","5","","5","5","5","5","C","","","F","","","A","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","M","0","3","E","E","(724; 2893]","[1;5]","A","B","A","A","A","A","A","A","A","D","A","A","A","D","D","D","A","C","5","5","","5","3","3","3","D","","","F","","","A","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","p"
">=20.00","F","0","3","E","C","(724; 2893]","[1;5]","D","A","A","D","A","A","A","A","A","D","D","A","D","A","D","D","A","C","5","5","","5","4","5","2","B","","","F","","","A","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","F","1","3","F","E","(724; 2893]","[1;5]","D","B","A","A","D","D","D","D","A","D","D","B","B","D","D","D","A","A","2","5","","5","5","5","5","B","A","B","B","A","A","A","A","B","A",">17","E","1","5","5","5","5","B","B","A","A","B","B","B","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","2","G","G","(724; 2893]","[1;5]","A","B","A","D","D","A","D","D","A","D","D","B","A","D","D","D","A","C","3","3","","5","5","5","3","B","","","B","","","A","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","p"
"<20.00","F","1","3","F","C","<=724","[1;5]","D","B","A","A","A","D","D","D","D","D","A","D","D","D","D","D","A","B","3","5","","5","2","5","4","B","A","A","A","B","A","A","A","B","B",">17","A","3","5","0","3","0","B","B","B","B","A","B","B","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","0","E","E","<=724","[1;5]","A","B","B","B","A","D","A","A","A","B","D","C","C","D","A","D","B","A","5","5","","5","2","2","1","B","A","A","F","A","A","A","A","B","A","<=17","B","5","3","5","5","3","A","B","B","A","A","B","B","","","","","","","","","","","","","","","","","","","","","","","","p"
">=20.00","F","0","3","I","E","<=724","[1;5]","A","B","B","B","D","A","D","A","A","D","A","B","A","D","D","D","A","C","5","4","","4","4","5","5","C","","","F","","","A","B","B","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","M","0","3","C","B","(724; 2893]","[1;5]","A","B","A","D","A","A","D","A","A","D","D","C","A","D","D","D","B","B","4","4","","5","3","5","5","E","A","A","B","A","A","A","A","B","A",">17","D","3","0","5","5","5","A","B","B","B","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","3","F","H",">5792","[1;5]","B","B","A","A","D","A","D","D","A","D","D","B","A","A","D","D","B","C","5","4","","5","3","3","3","B","","","B","","","A","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","p"
"<20.00","F","1","2","I","B","(724; 2893]","[6;10]","B","B","B","B","A","A","D","A","A","D","A","C","A","A","D","D","A","A","0","3","","5","3","5","5","A","A","D","B","A","D","A","A","A","A",">17","A","3","5","5","3","0","B","B","A","B","B","B","B","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","3","B","D","<=724","[1;5]","A","B","A","A","A","D","D","D","A","D","D","A","D","D","D","D","A","C","5","5","","5","5","5","0","A","","","B","","","B","A","B","B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","F","0","3","C","C","<=724","[1;5]","A","B","A","D","A","D","D","A","A","D","D","B","D","D","D","A","A","A","5","5","","5","5","5","5","B","A","A","F","C","A","A","A","A","A","<=17","D","5","5","5","5","5","A","B","B","B","B","B","B","A","A","A","B","A","B","B","B","B","B","A","B","B","B","B","B","A","B","B","A","B","B","B","n"
"<20.00","F","0","1","A","B","(724; 2893]","[1;5]","A","B","A","A","A","D","D","A","A","D","D","C","D","D","D","D","A","A","5","3","","3","3","3","4","B","","","G","C","A","B","A","A","A","<=17","A","5","0","5","5","2","B","B","B","B","B","B","B","B","","","","","","","","","","A","B","B","B","B","B","B","B","B","B","B","B","G","n"
">=20.00","F","0","1","E","E","(724; 2893]","[1;5]","A","B","A","A","D","A","D","A","A","A","A","B","A","D","D","D","A","C","5","2","","5","1","5","0","B","","","B","","","A","A","B","B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","p"
"<20.00","F","0","3","B","B","<=724","[1;5]","A","B","B","A","D","A","D","D","D","D","D","B","A","D","D","D","A","B","3","5","","5","5","5","5","C","A","A","B","A","A","A","A","A","A",">17","C","5","5","5","5","2","B","B","B","B","B","B","A","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","3","I","D","(724; 2893]","[1;5]","A","B","B","D","A","A","A","A","A","D","D","C","D","D","D","D","A","C","4","4","","5","5","5","5","B","","","C","","","A","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","p"
">=20.00","M","0","1","B","C","(724; 2893]","[1;5]","C","B","A","A","A","A","A","A","A","A","D","C","A","D","D","D","B","B","3","5","","5","0","5","5","E","B","A","F","A","A","A","A","B","B","<=17","E","5","0","5","5","1","A","B","B","B","A","B","B","A","A","A","A","B","B","B","B","B","B","B","","","","","","","","","","","","","n"
"<20.00","F","0","3","C","C","(724; 2893]","[6;10]","A","B","A","D","D","D","A","A","A","D","A","A","A","A","D","D","B","A","5","5","","5","4","5","1","B","A","A","B","A","A","A","A","A","B",">17","D","5","0","5","5","5","B","B","A","A","B","B","B","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","3","B","F","<=724","[1;5]","A","B","B","A","A","D","A","A","A","D","D","B","D","A","D","D","B","B","2","5","","5","3","5","3","C","A","A","B","A","A","A","B","B","A","<=17","E","5","2","4","3","4","A","B","B","B","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","M","0","1","B","B","(724; 2893]","[1;5]","A","B","B","B","A","A","C","A","A","B","A","C","A","D","A","D","B","A","0","0","","5","5","5","4","C","A","A","B","A","A","A","A","A","A","<=17","C","4","0","5","5","5","A","B","B","A","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","p"
">=20.00","F","0","3","I","C","<=724","[6;10]","A","B","B","B","A","A","D","D","A","D","D","B","A","D","D","D","A","C","4","5","","5","5","5","3","C","A","A","C","A","A","A","A","B","A","","","","","","","","","","","","","","","B","","","","","","","","","","A","B","B","B","B","B","B","B","B","B","B","B","G","n"
">=20.00","F","0","3","C","G","(2893; 5792]","[1;5]","A","B","B","B","A","B","B","A","A","A","B","C","A","A","A","D","C","C","5","5","","5","5","4","4","C","","","F","","","A","A","A","B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","p"
"<20.00","M","0","3","B","E","(724; 2893]","[6;10]","A","B","A","D","D","A","A","D","A","D","A","C","A","D","D","D","A","B","5","5","","5","3","3","4","B","A","A","C","C","A","A","A","B","A","<=17","E","5","5","2","5","5","A","B","A","B","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","p"
"<20.00","F","0","1","D","B","(724; 2893]","[1;5]","C","B","A","D","D","A","D","A","A","D","A","A","A","A","A","D","A","A","5","5","","4","5","5","5","F","E","A","F","A","A","A","A","A","A","<=17","D","5","0","5","5","5","B","B","B","B","A","B","B","A","A","A","B","B","A","B","B","B","B","A","B","B","B","B","B","A","B","B","B","B","B","B","n"
"<20.00","M","0","2","B","E","(724; 2893]","[1;5]","A","B","A","D","A","D","A","A","D","D","D","B","A","D","D","D","A","A","5","5","","5","5","5","0","B","A","A","A","A","A","A","A","A","B","<=17","E","5","5","5","5","5","B","B","B","B","B","B","B","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","2","H","H",">5792","[1;5]","C","B","A","A","D","A","A","A","A","D","A","C","A","A","A","D","B","C","5","0","","5","0","0","0","B","","","F","","","B","B","B","B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","p"
"<20.00","M","0","1","C","C","(724; 2893]","[1;5]","C","B","B","A","A","A","D","D","A","D","A","B","A","D","D","D","A","A","2","4","","4","5","5","4","C","A","A","C","A","A","A","A","B","A","<=17","D","4","5","5","5","4","A","B","B","A","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","M","0","1","B","G","(724; 2893]","[1;5]","A","B","A","D","A","A","A","A","A","D","D","C","A","D","A","D","A","A","3","2","","3","3","5","1","C","A","A","B","A","A","A","A","A","A",">17","E","5","0","5","5","5","B","B","A","B","A","B","B","","","","","","","","","","","","","","","","","","","","","","","","n"
">=20.00","F","0","3","E","B","(724; 2893]","[1;5]","C","B","A","A","D","A","D","D","A","D","D","B","D","D","A","D","A","C","5","5","","5","5","5","5","B","","","C","","","A","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n"
"<20.00","F","1","3","A","B","(724; 2893]","[1;5]","A","B","B","A","B","A","A","A","A","D","D","B","A","D","A","D","A","B","5","5","","5","5","5","5","B","A","A","B","A","A","A","A","A","A",">17","E","4","5","5","5","5","A","B","B","B","A","B","A","","","","","","","","","","","","","","","","","","","","","","","","p"
"<20.00","F","1","1","B","B",">5792","[6;10]","C","B","B","A","D","C","B","A","A","A","A","C","A","A","D","D","B","B","5","5","","5","5","5","5","B","A","A","B","A","A","A","A","B","A",">17","C","0","0","5","5","4","B","B","A","B","B","B","B","","","","","","","","","","","","","","","","","","","","","","","","n"
